Attribute,Value,Business Implication
Age Range (IQR),30–57 yrs,Target mid-career professionals in paid acquisition
Median Age,44 yrs,Not youth-skewed — focus on quality over trend messaging
Top Gender,Female,Slight female skew — ensure creative represents both
Top 3 Categories,"Clothing, Accessories, Footwear",Lead acquisition with these categories; they attract keepers
Avg Order Value,$76,Full-price buyer — high-margin per transaction
Avg Previous Purchases,38 transactions,High loyalty signal — brand is embedded in their purchase habit
Avg Review Rating,4.07 / 5.0,Satisfied customers — good candidate for referral programs
Avg Retention Proxy Score,56.2 / 100,Strong engagement signal — minimal churn risk
Promo Dependency Score (avg),4.8 / 100,Does not need discounts — any discount is margin waste
Discount Applied Rate,0.0%,Zero discount dependency — pricing integrity intact
Promo Code Used Rate,0.0%,Zero promo code usage — brand affinity is intrinsic
Subscription Rate,0.0%,Low subscription rate — major untapped revenue lever
Top 3 Payment Methods,"Credit Card, Cash, Paypal",Diverse payment habits — no friction removing payment options
Top 3 Shipping Types,"Express, Free Shipping, 2-Day Shipping",Prefers faster shipping — fulfillment speed matters to them
Most Common Purchase Frequency,Quarterly,Quarterly buyer — email cadence should match this rhythm
Top 5 States,"Alabama, Montana, Minnesota, Pennsylvania, New Mexico",Geographic targeting for lookalike campaigns
Avg Estimated LTV,$2937,High per-customer economic value
Revenue Concentration,15.4% of customers → 28.6% of revenue,Disproportionate revenue per head — protect at all costs
